,EMOA,CMOA,QOATA,EQOATA,AC,EAC
100,100,100,100,100,100,100
100,100,100,100,100,100,99.83333
100,100,100,100,100,99.85714,99.85714
100,100,100,100,100,100,100
100,100,100,100,100,99.88889,99.88889
100,100,100,100,100,100,99.8
100,100,100,100,100,99.81818,99.81818
100,100,100,100,100,99.75,99.5
100,100,100,100,100,99.61538,99.38462
97.14286,97.14286,97.14286,98.14286,97.14286,96.78571,96.57143
95.93333,95.93333,95.93333,96.93333,95.93333,95.6,95.4
92.5,92.5,92.5,93.5,92.5,91.1875,91
91.70588,90.70588,91.70588,91.70588,91.70588,90.41176,90.23529
88.44444,88.44444,88.44444,89.44444,88.44444,88.16667,88
87.63158,86.63158,87.63158,87.63158,87.63158,86.36842,87.21053
86.2,85.2,86.2,86.2,86.2,84.95,84.8
3.857,3.7666,3.8768,3.8248,3.7386,3.598,3.5956
3.878166667,3.772166667,3.901,3.849166667,3.745,3.599,3.579131886
3.859571429,3.766428571,3.884571429,3.831142857,3.742142857,3.579828326,3.594277539
3.85375,3.76575,3.871625,3.831,3.74025,3.600375,3.60975
3.843333333,3.764,3.858222222,3.822333333,3.740111111,3.601779755,3.598553949
3.8322,3.7607,3.8468,3.8096,3.7375,3.6186,3.614428858
3.815181818,3.755545455,3.829818182,3.799545455,3.734454545,3.60136612,3.60701275
3.803,3.7465,3.815333333,3.788083333,3.72725,3.607518797,3.607621441
3.789461538,3.736307692,3.800846154,3.775615385,3.716846154,3.603320463,3.603405573
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
3.789340491,3.735429448,3.799923313,3.774923313,3.717101227,3.603541186,3.60316358
2.55206,5.42298,13.21947,11.83675,4.96898,11.04642,5.0209
2.59286,5.92945,15.60641,13.90439,5.61512,13.53616,5.21296
2.66543,5.63136,18.76108,16.33894,5.24821,15.77714,5.10961
2.6579,6.01561,20.4969,18.17383,5.45661,17.63298,5.08499
2.67659,6.19833,22.96354,19.97261,5.7736,20.1626,5.25453
2.60268,6.03158,26.20428,21.88062,5.69385,21.93831,5.46192
2.69519,6.03276,28.53977,24.55466,5.66645,24.02582,5.6974
2.70158,6.25597,29.58346,26.82952,5.82875,25.7394,5.97136
9.02477,8.87868,33.59289,28.95634,8.55948,27.32672,8.8327
9.02507,8.87842,33.70667,29.17402,8.58576,28.2681,8.83591
9.11437,8.88205,33.11939,28.68254,8.5819,27.649,8.83278
9.01208,8.88375,32.5229,28.66275,8.57881,27.98401,8.84245
9.03479,8.88473,32.21083,28.25435,8.58004,27.92085,8.83277
9.04927,8.88075,33.48591,28.78073,8.58114,27.92539,8.84057
9.03196,8.87801,34.00302,28.43836,8.57989,28.30704,8.83937
9.02777,8.88306,31.95506,29.84371,8.58221,28.0023,8.83546
1.404,1.444,1.396,1.624,1.598,1.602,1.578
1.36667,1.44833,1.36333,1.63167,1.59667,1.60555,1.60255
1.40429,1.46143,1.39286,1.62286,1.61857,1.60558,1.61795
1.44875,1.52375,1.4275,1.63,1.6375,1.64,1.645
1.45778,1.53,1.45222,1.64889,1.63889,1.65851,1.64627
1.469,1.536,1.455,1.635,1.647,1.638,1.64028
1.47727,1.54818,1.46,1.63727,1.65273,1.64845,1.65938
1.485,1.54833,1.46667,1.62833,1.64417,1.65079,1.64908
1.50077,1.56077,1.47692,1.62769,1.65538,1.65251,1.65557
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
1.50077,1.56058,1.47623,1.62653,1.65491,1.6505,1.65509
